filename,url_hint,audit_status
https___904electric_com_.png,https...904electric.com.,LEAD
https___bravoproremodeling_com_.png,https...bravoproremodeling.com.,LEAD
https___dsgroupconstruction_com_.png,https...dsgroupconstruction.com.,NOT_LEAD
https___eloroofing_com__utm_source_google_utm_medi.png,https...eloroofing.com..utm.source.google.utm.medi,LEAD
https___enetaxplus_com_.png,https...enetaxplus.com.,LEAD
https___floridaroofingpros_net_roofing_contractors.png,https...floridaroofingpros.net.roofing.contractors,NOT_LEAD
https___friendspestguards_site_.png,https...friendspestguards.site.,LEAD
https___gwchvac_com_.png,https...gwchvac.com.,NOT_LEAD
https___isleelectric_com__utm_source_gbp_utm_mediu.png,https...isleelectric.com..utm.source.gbp.utm.mediu,LEAD
https___olecs_online_.png,https...olecs.online.,NOT_LEAD
https___parkertermitecontrol_com_locations_jackson.png,https...parkertermitecontrol.com.locations.jackson,NOT_LEAD
https___purpleheartpools_com_.png,https...purpleheartpools.com.,RECHECK
https___quick_catch_com_.png,https...quick.catch.com.,LEAD
https___renuityhome_com_florida_jacksonville_fl__u.png,https...renuityhome.com.florida.jacksonville.fl..u,NOT_LEAD
https___tenaxelectrical_com_.png,https...tenaxelectrical.com.,NOT_LEAD
https___www_cherymaids_com__utm_source_google_utm_.png,https...www.cherymaids.com..utm.source.google.utm.,NOT_LEAD
https___www_ejsmallbusinessaccounting_com_.png,https...www.ejsmallbusinessaccounting.com.,LEAD
https___www_eliteairpros_com_.png,https...www.eliteairpros.com.,LEAD
https___www_prestoplumbingjax_com_.png,https...www.prestoplumbingjax.com.,LEAD
https___www_shiningbrightcleaning_com_.png,https...www.shiningbrightcleaning.com.,LEAD
https___www_thigpenhvac_com__y_source_1_MTgwMjQ2ND.png,https...www.thigpenhvac.com..y.source.1.MTgwMjQ2ND,LEAD
http___acer_plumbing_com_.png,http...acer.plumbing.com.,RECHECK
http___actaxaccounting_com_.png,http...actaxaccounting.com.,RECHECK
http___allinconstruction_com_.png,http...allinconstruction.com.,RECHECK
http___boltroofingfl_com__utm_source_google_utm_me.png,http...boltroofingfl.com..utm.source.google.utm.me,LEAD
http___custompestsolutionscfl_com_.png,http...custompestsolutionscfl.com.,RECHECK
http___davisfamilyroofrepair_com_.png,http...davisfamilyroofrepair.com.,RECHECK
http___designerslandscapetv_com_.png,http...designerslandscapetv.com.,LEAD
http___dlplumbingcontractors_com_.png,http...dlplumbingcontractors.com.,RECHECK
http___donaldsonpa_com_.png,http...donaldsonpa.com.,RECHECK
http___edgepoolsfl_com_.png,http...edgepoolsfl.com.,NOT_LEAD
http___esteselectricinc_com_.png,http...esteselectricinc.com.,LEAD
http___excellencerestoration_com_.png,http...excellencerestoration.com.,RECHECK
http___flemingislandroofrepair_cc_.png,http...flemingislandroofrepair.cc.,RECHECK
http___floridagoldroofing_com_.png,http...floridagoldroofing.com.,RECHECK
http___garrettplumbinginc_com__utm_source_gmb_utm_.png,http...garrettplumbinginc.com..utm.source.gmb.utm.,NOT_LEAD
http___grandaplumbing_com_.png,http...grandaplumbing.com.,LEAD
http___greenierlawncare_com_.png,http...greenierlawncare.com.,LEAD
http___heck_electric_com_.png,http...heck.electric.com.,RECHECK
http___jacksonvillepoolcleaners_com_.png,http...jacksonvillepoolcleaners.com.,LEAD
http___jacksonvillerooffix_cc_.png,http...jacksonvillerooffix.cc.,RECHECK
http___jacksonvilleroofrepair_cc_.png,http...jacksonvilleroofrepair.cc.,RECHECK
http___jamesandsonsroofrepair_cc_.png,http...jamesandsonsroofrepair.cc.,RECHECK
http___jcmroofing_restoration_com_.png,http...jcmroofing.restoration.com.,RECHECK
http___kimbrothersroofing_cc_.png,http...kimbrothersroofing.cc.,RECHECK
http___kimbrothersroofrepair_cc_.png,http...kimbrothersroofrepair.cc.,RECHECK
http___lannyelectric_com_.png,http...lannyelectric.com.,LEAD
http___margateelectrical_com_.png,http...margateelectrical.com.,RECHECK
http___ocoeeroofrepair_com_.png,http...ocoeeroofrepair.com.,RECHECK
http___orlandorooffix_com_.png,http...orlandorooffix.com.,RECHECK
http___pestxpress_com_.png,http...pestxpress.com.,LEAD
http___pontevedrabeachroofrepair_cc_.png,http...pontevedrabeachroofrepair.cc.,RECHECK
http___prioritypestc_com_.png,http...prioritypestc.com.,RECHECK
http___quicklawnandmulch_com_.png,http...quicklawnandmulch.com.,LEAD
http___rakoelectricfl_com_.png,http...rakoelectricfl.com.,RECHECK
http___roofrepairoviedo_com_.png,http...roofrepairoviedo.com.,RECHECK
http___tampavippoolservices_com__utm_source_gmb_ut.png,http...tampavippoolservices.com..utm.source.gmb.ut,LEAD
http___thurnconstruction_com_.png,http...thurnconstruction.com.,NOT_LEAD
http___tigerelectricllc_com_.png,http...tigerelectricllc.com.,RECHECK
http___tlctaxandaccounting_com_.png,http...tlctaxandaccounting.com.,NOT_LEAD
http___tmpelectricllc_com_.png,http...tmpelectricllc.com.,RECHECK
http___wintergardenroofrepair_cc_.png,http...wintergardenroofrepair.cc.,RECHECK
http___www_1855gotleaks_com_.png,http...www.1855gotleaks.com.,RECHECK
http___www_813air_com_.png,http...www.813air.com.,RECHECK
http___www_904electric_com_.png,http...www.904electric.com.,LEAD
http___www_agorapest_com_.png,http...www.agorapest.com.,LEAD
http___www_alvarezcpa_com_.png,http...www.alvarezcpa.com.,LEAD
http___www_amplifiedelectricinc_com_.png,http...www.amplifiedelectricinc.com.,RECHECK
http___www_apachepestcontrol_com_.png,http...www.apachepestcontrol.com.,RECHECK
http___www_atdtileremodeling_com_.png,http...www.atdtileremodeling.com.,NOT_LEAD
http___www_baldwinaccountingcpa_com_.png,http...www.baldwinaccountingcpa.com.,NOT_LEAD
http___www_brintonfairchild_com_.png,http...www.brintonfairchild.com.,NOT_LEAD
http___www_briscarlawnandlandscape_com_.png,http...www.briscarlawnandlandscape.com.,RECHECK
http___www_carusoandcompany_com_.png,http...www.carusoandcompany.com.,RECHECK
http___www_casainteriors_us_.png,http...www.casainteriors.us.,NOT_LEAD
http___www_cc_carpetcare_com_.png,http...www.cc.carpetcare.com.,RECHECK
http___www_cedarcreekroof_com_.png,http...www.cedarcreekroof.com.,RECHECK
http___www_cityroofingorlando_com_.png,http...www.cityroofingorlando.com.,RECHECK
http___www_cleanymiami_com_.png,http...www.cleanymiami.com.,RECHECK
http___www_coolmaxairllc_com_.png,http...www.coolmaxairllc.com.,RECHECK
http___www_cpataxorlando_com_about_uscontact_html.png,http...www.cpataxorlando.com.about.uscontact.html,LEAD
http___www_dotsconstruction_com_.png,http...www.dotsconstruction.com.,LEAD
http___www_dynamicplumbingtechnology_com_.png,http...www.dynamicplumbingtechnology.com.,RECHECK
http___www_favergrayhomes_com_.png,http...www.favergrayhomes.com.,NOT_LEAD
http___www_getelectricrepairs_com_.png,http...www.getelectricrepairs.com.,RECHECK
http___www_hermajestyservices_com_.png,http...www.hermajestyservices.com.,RECHECK
http___www_homedesignandrepair_com_.png,http...www.homedesignandrepair.com.,RECHECK
http___www_htdcleaningservices_com_.png,http...www.htdcleaningservices.com.,RECHECK
http___www_jackmeekscpa_com_.png,http...www.jackmeekscpa.com.,LEAD
http___www_manfredodesigns_com_.png,http...www.manfredodesigns.com.,LEAD
http___www_mcmcleaners_com_.png,http...www.mcmcleaners.com.,LEAD
http___www_natureguardusa_com_.png,http...www.natureguardusa.com.,RECHECK
http___www_perfect_pool_net_.png,http...www.perfect.pool.net.,NOT_LEAD
http___www_primeroofingfl_com_.png,http...www.primeroofingfl.com.,RECHECK
http___www_proplumbing_air_com_.png,http...www.proplumbing.air.com.,RECHECK
http___www_quality_craftsmen_com_.png,http...www.quality.craftsmen.com.,LEAD
http___www_redsquaretax_com_.png,http...www.redsquaretax.com.,RECHECK
http___www_rgcocpa_com__utm_source_google_business.png,http...www.rgcocpa.com..utm.source.google.business,RECHECK
http___www_risingtidebuilders_com_.png,http...www.risingtidebuilders.com.,RECHECK
http___www_sanjayguptacpa_com_.png,http...www.sanjayguptacpa.com.,RECHECK
http___www_semcoconstruction_com_.png,http...www.semcoconstruction.com.,NOT_LEAD
http___www_skohomes_com_.png,http...www.skohomes.com.,RECHECK
http___www_staydryfl_com_.png,http...www.staydryfl.com.,RECHECK
http___www_sunstatenursery_com_.png,http...www.sunstatenursery.com.,NOT_LEAD
http___www_tier1pestsolution_com_.png,http...www.tier1pestsolution.com.,RECHECK
http___www_tmpelectricllc_com_.png,http...www.tmpelectricllc.com.,RECHECK
