filename,decision,website
1000voltselectric_com.png,LEAD,1000voltselectric.com
1855gotleaks_com.png,REJECTED,1855gotleaks.com
1stcoralspringsemergencyplumber_com.png,REJECTED,1stcoralspringsemergencyplumber.com
1stopenterprise_com.png,REJECTED,1stopenterprise.com
1waytaxservices_com.png,LEAD,1waytaxservices.com
247plumbingfl_com.png,REJECTED,247plumbingfl.com
24hourplumbing_org.png,LEAD,24hourplumbing.org
3hac_com.png,REJECTED,3hac.com
3n1services_com.png,REJECTED,3n1services.com
813air_com.png,REJECTED,813air.com
a2zroofingexperts_com.png,REJECTED,a2zroofingexperts.com
aaamodernair_com__utm_source_google_utm_medium_org.png,REJECTED,aaamodernair.com..utm.source.google.utm.medium.org
aandawaterproofingandcleaningservicefl_com.png,REJECTED,aandawaterproofingandcleaningservicefl.com
aastroroofing_com__utm_source_google_utm_medium_gm.png,REJECTED,aastroroofing.com..utm.source.google.utm.medium.gm
abcroofingcorp_com.png,REJECTED,abcroofingcorp.com
aboveairinc_com__utm_source_google_business_listin.png,LEAD,aboveairinc.com..utm.source.google.business.listin
absoluteaccountingcpa_com.png,REJECTED,absoluteaccountingcpa.com
absolutepressurecleaningservices_com.png,REJECTED,absolutepressurecleaningservices.com
abvwood_com.png,REJECTED,abvwood.com
acadvanced_com__utm_campaign_gmb.png,REJECTED,acadvanced.com..utm.campaign.gmb
accollc_com.png,REJECTED,accollc.com
accountingforsuccessjax_com.png,REJECTED,accountingforsuccessjax.com
accountor_cpa_near_me_florida_fl_accounting_and_bo.png,REJECTED,accountor.cpa.near.me.florida.fl.accounting.and.bo
accuratepestcontrolinc_com.png,REJECTED,accuratepestcontrolinc.com
acehandymanservices_com_offices_broward_county_eas.png,LEAD,acehandymanservices.com.offices.broward.county.eas
acer_plumbing_com.png,REJECTED,acer.plumbing.com
ackenny_com.png,LEAD,ackenny.com
acmiamirepair_com.png,REJECTED,acmiamirepair.com
acshomeservices_com_sarasota_air_conditioning_plum.png,REJECTED,acshomeservices.com.sarasota.air.conditioning.plum
actaxaccounting_com.png,REJECTED,actaxaccounting.com
actionaccountingusa_com.png,REJECTED,actionaccountingusa.com
actionplus_org.png,REJECTED,actionplus.org
actionroofing_com_roof_replacement_pompano_beach_f.png,REJECTED,actionroofing.com.roof.replacement.pompano.beach.f
actionroofing_com_tampa_roofing.png,REJECTED,actionroofing.com.tampa.roofing
advancedairsystem_com.png,REJECTED,advancedairsystem.com
advancedroofing_com.png,REJECTED,advancedroofing.com
advantaclean_com_ft_lauderdale_fl.png,REJECTED,advantaclean.com.ft.lauderdale.fl
advantageroofs_com.png,REJECTED,advantageroofs.com
aei_electric_com.png,REJECTED,aei.electric.com
affordablecleaningtoday_com_lander3_utm_source_goo.png,LEAD,affordablecleaningtoday.com.lander3.utm.source.goo
affordableroofingfla_com.png,REJECTED,affordableroofingfla.com
afterhoursac_net.png,REJECTED,afterhoursac.net
agorapest_com.png,REJECTED,agorapest.com
ahometouchcleaning_com.png,REJECTED,ahometouchcleaning.com
aimservicegroup_com_service_area_air_conditioning_.png,REJECTED,aimservicegroup.com.service.area.air.conditioning.
air95ac_com.png,REJECTED,air95ac.com
airanytime_com.png,REJECTED,airanytime.com
airbearshvac_com.png,REJECTED,airbearshvac.com
airforceroofing_com.png,LEAD,airforceroofing.com
airhawkac_com__utm_source_google_utm_medium_organi.png,REJECTED,airhawkac.com..utm.source.google.utm.medium.organi
airiamflorida_com.png,REJECTED,airiamflorida.com
airmaxrefrigeration_com.png,REJECTED,airmaxrefrigeration.com
airrescueflorida_com.png,REJECTED,airrescueflorida.com
airsupportacrepairinstallation_com.png,REJECTED,airsupportacrepairinstallation.com
akcelconstruction_com__pk_campaign_gmb_corp_pk_sou.png,REJECTED,akcelconstruction.com..pk.campaign.gmb.corp.pk.sou
alignment_construction_com.png,REJECTED,alignment.construction.com
allcustomtile_com.png,REJECTED,allcustomtile.com
alllandscapetampa_com.png,LEAD,alllandscapetampa.com
allphaseconstructionfl_com_locations_deerfield_bea.png,REJECTED,allphaseconstructionfl.com.locations.deerfield.bea
allsiteelectric_com.png,REJECTED,allsiteelectric.com
allterrainlandscaping_com.png,REJECTED,allterrainlandscaping.com
alluneedpest_com.png,REJECTED,alluneedpest.com
allyearcooling_com.png,REJECTED,allyearcooling.com
alohaac_com.png,LEAD,alohaac.com
alvarezcpa_com.png,LEAD,alvarezcpa.com
alvarezhomes_com.png,REJECTED,alvarezhomes.com
alvarezplumbing_com.png,LEAD,alvarezplumbing.com
amegelectricallighting_net.png,LEAD,amegelectricallighting.net
amenitypool_com_locations_miami_fl.png,LEAD,amenitypool.com.locations.miami.fl
americasplumbers_com__utm_campaign_gmb.png,REJECTED,americasplumbers.com..utm.campaign.gmb
antipesto_com_pest_control_largo_fl_utm_source_goo.png,REJECTED,antipesto.com.pest.control.largo.fl.utm.source.goo
antipesto_com_pest_control_riverview_fl_utm_source.png,REJECTED,antipesto.com.pest.control.riverview.fl.utm.source
antipesto_com_tampa_fl_pest_control_utm_source_goo.png,REJECTED,antipesto.com.tampa.fl.pest.control.utm.source.goo
apachepestcontrol_com.png,REJECTED,apachepestcontrol.com
apexdoyourplumbing_com_service_areas_plumbers_tamp.png,REJECTED,apexdoyourplumbing.com.service.areas.plumbers.tamp
aptivepestcontrol_com_locations_florida_fl_davie_p.png,REJECTED,aptivepestcontrol.com.locations.florida.fl.davie.p
aquablisspools_com.png,REJECTED,aquablisspools.com
aquakingpoolservices_com.png,REJECTED,aquakingpoolservices.com
aquaroseservices_com.png,REJECTED,aquaroseservices.com
artisan_group_com.png,REJECTED,artisan.group.com
arvizosheatingacsvs_com.png,REJECTED,arvizosheatingacsvs.com
asapplumbingrepairs_com.png,REJECTED,asapplumbingrepairs.com
asolidconnection_com.png,LEAD,asolidconnection.com
astarairconditioning_com.png,REJECTED,astarairconditioning.com
atcair_com.png,REJECTED,atcair.com
atdtileremodeling_com.png,REJECTED,atdtileremodeling.com
atgeneralremodelingandtile_com.png,REJECTED,atgeneralremodelingandtile.com
atiservicesoftampa_com.png,LEAD,atiservicesoftampa.com
atlasroofingdepot_site.png,REJECTED,atlasroofingdepot.site
atozkitchens_com_contact__utm_source_google_utm_me.png,REJECTED,atozkitchens.com.contact..utm.source.google.utm.me
atsflorida_com.png,REJECTED,atsflorida.com
baldwinplumbingtamarac_com.png,LEAD,baldwinplumbingtamarac.com
ballenciace_com.png,REJECTED,ballenciace.com
bartonandmillercleaners_com.png,REJECTED,bartonandmillercleaners.com
batescpa_com.png,REJECTED,batescpa.com
bayareaplumbinginc_com.png,REJECTED,bayareaplumbinginc.com
baytobayroofing_com_hillsborough_county_lutz__utm_.png,REJECTED,baytobayroofing.com.hillsborough.county.lutz..utm.
beiraccounting_com.png,REJECTED,beiraccounting.com
belugapoolservice_pages_dev.png,REJECTED,belugapoolservice.pages.dev
benchmarkelectricians_com.png,LEAD,benchmarkelectricians.com
bestoproofing_com.png,LEAD,bestoproofing.com
bestsolutionsroofinginc_com.png,REJECTED,bestsolutionsroofinginc.com
bettercallsteveplumbing_com.png,REJECTED,bettercallsteveplumbing.com
bickoffconstruction_com.png,LEAD,bickoffconstruction.com
bigdaddylawns_com.png,LEAD,bigdaddylawns.com
bigtimeairconditioning_com.png,LEAD,bigtimeairconditioning.com
bkremodeling_net.png,REJECTED,bkremodeling.net
bltlawncare_com.png,LEAD,bltlawncare.com
blueclairpool_com.png,REJECTED,blueclairpool.com
blueinfinitypoolservicesllc_com.png,LEAD,blueinfinitypoolservicesllc.com
bluelagunapoolservice_com.png,LEAD,bluelagunapoolservice.com
bluelinepoolsolution_com.png,REJECTED,bluelinepoolsolution.com
blueprinthomerenovation_homes.png,REJECTED,blueprinthomerenovation.homes
blueviel_com.png,REJECTED,blueviel.com
bnfroofing_com_lakeland_fl.png,LEAD,bnfroofing.com.lakeland.fl
bpgcpas_com.png,REJECTED,bpgcpas.com
brandonartificialturfpaversinstallation_com_tampa.png,REJECTED,brandonartificialturfpaversinstallation.com.tampa
bridanlawnpros_com.png,REJECTED,bridanlawnpros.com
brisapool_com.png,REJECTED,brisapool.com
briskaircool_com.png,REJECTED,briskaircool.com
brookstreetconstruction_com_contact.png,REJECTED,brookstreetconstruction.com.contact
bugabugpest_com.png,REJECTED,bugabugpest.com
bugcitypm_com.png,REJECTED,bugcitypm.com
bugsoruspestcontrol_com.png,LEAD,bugsoruspestcontrol.com
bugstinct_com__utm_campaign_gmb_utm_medium_gbp_vie.png,REJECTED,bugstinct.com..utm.campaign.gmb.utm.medium.gbp.vie
callcroftons_com.png,REJECTED,callcroftons.com
callhometherapist_com.png,REJECTED,callhometherapist.com
callnorthwest_com_florida_locations_lauderhill_pes.png,REJECTED,callnorthwest.com.florida.locations.lauderhill.pes
campbellcpa_biz.png,REJECTED,campbellcpa.biz
carlmartinroofing_com.png,REJECTED,carlmartinroofing.com
carrollselectricinc_com.png,LEAD,carrollselectricinc.com
carusoandcompany_com.png,REJECTED,carusoandcompany.com
cassplumbingtampabay_com.png,LEAD,cassplumbingtampabay.com
castirondrainking_com.png,REJECTED,castirondrainking.com
cbh_com_locations_cpa_accounting_firm_in_tampa_fl_.png,REJECTED,cbh.com.locations.cpa.accounting.firm.in.tampa.fl.
ccjrconstruction_com.png,REJECTED,ccjrconstruction.com
cdplumbing_net__utm_source_gbplisting_utm_medium_o.png,LEAD,cdplumbing.net..utm.source.gbplisting.utm.medium.o
cecplumbinginc_com.png,REJECTED,cecplumbinginc.com
cedarcrestroofing_site.png,REJECTED,cedarcrestroofing.site
cejascooling_com.png,REJECTED,cejascooling.com
cevtaxes_com.png,LEAD,cevtaxes.com
cfocollective_io.png,LEAD,cfocollective.io
chetspest_com.png,LEAD,chetspest.com
chiefhvacrepair_com_locations_fort_lauderdale_utm_.png,REJECTED,chiefhvacrepair.com.locations.fort.lauderdale.utm.
choosecharterelectric_com.png,REJECTED,choosecharterelectric.com
choosecharterelectric_com__utm_source_google_utm_m.png,REJECTED,choosecharterelectric.com..utm.source.google.utm.m
classicroofreplacement_com__utm_source_google_utm_.png,LEAD,classicroofreplacement.com..utm.source.google.utm.
cleancronos_com.png,REJECTED,cleancronos.com
cleanerfloridacentral_netlify_app.png,REJECTED,cleanerfloridacentral.netlify.app
cleanmypool_pro.png,REJECTED,cleanmypool.pro
cleanorganizedhome_com.png,REJECTED,cleanorganizedhome.com
cleanreadyaventura_com.png,REJECTED,cleanreadyaventura.com
cleanteamflorida_us.png,REJECTED,cleanteamflorida.us
cleanworkflorida_com.png,REJECTED,cleanworkflorida.com
cleanymiami_com.png,REJECTED,cleanymiami.com
climatecareheatingandcooling_com.png,REJECTED,climatecareheatingandcooling.com
clsroofingllc_com.png,REJECTED,clsroofingllc.com
coastalbrothersroofing_com.png,REJECTED,coastalbrothersroofing.com
coastallandscapedesignllc_com_contact.png,LEAD,coastallandscapedesignllc.com.contact
cohnreznick_com_people_zvi_rafilovich.png,LEAD,cohnreznick.com.people.zvi.rafilovich
coldairmechanical_com.png,REJECTED,coldairmechanical.com
coolairasap_com.png,REJECTED,coolairasap.com
coolbydesignfl_com_furnace_repair_oakland_park_fl_.png,REJECTED,coolbydesignfl.com.furnace.repair.oakland.park.fl.
coolmaxairllc_com.png,REJECTED,coolmaxairllc.com
coolmodeac_com.png,LEAD,coolmodeac.com
coolstarairserv_com.png,REJECTED,coolstarairserv.com
copperhead_plumbing_com__utm_source_google_utm_med.png,REJECTED,copperhead.plumbing.com..utm.source.google.utm.med
coralspringslawncarelandscaping_com.png,REJECTED,coralspringslawncarelandscaping.com
coralspringspoolmaintenance_com_contact_ultimate_p.png,LEAD,coralspringspoolmaintenance.com.contact.ultimate.p
cousinslandscape_com.png,REJECTED,cousinslandscape.com
craftlineremodeling_com.png,REJECTED,craftlineremodeling.com
crawfordelectricjax_com.png,REJECTED,crawfordelectricjax.com
crawfordpestcontrol_com.png,REJECTED,crawfordpestcontrol.com
crestroofingfl_com.png,REJECTED,crestroofingfl.com
cristalpoolfl_com.png,LEAD,cristalpoolfl.com
crystalbluepoolservices_com.png,REJECTED,crystalbluepoolservices.com
crystalcleardrainsco_com.png,REJECTED,crystalcleardrainsco.com
customer1stelectric_com.png,LEAD,customer1stelectric.com
cwatsonpa_com.png,REJECTED,cwatsonpa.com
cwh_cwhcr_com.png,REJECTED,cwh.cwhcr.com
damplumbinganddrain_com.png,REJECTED,damplumbinganddrain.com
dangitshot_com__utm_source_organic_utm_medium_webs.png,REJECTED,dangitshot.com..utm.source.organic.utm.medium.webs
davespestcontrol_com_sunrise_pest_control_company.png,REJECTED,davespestcontrol.com.sunrise.pest.control.company
davidramoscpa_com.png,REJECTED,davidramoscpa.com
davidsgeneralconstruction_com.png,REJECTED,davidsgeneralconstruction.com
davieplumbingandsupply_com.png,LEAD,davieplumbingandsupply.com
dccpas_net.png,REJECTED,dccpas.net
dcrtampa_com.png,REJECTED,dcrtampa.com
deans_electrical_com.png,LEAD,deans.electrical.com
dearmaselectric_com.png,REJECTED,dearmaselectric.com
deerfieldbeachtaxes_com__utm_campaign_gmb.png,REJECTED,deerfieldbeachtaxes.com..utm.campaign.gmb
delmarinteriors_net.png,REJECTED,delmarinteriors.net
deltatechelectric_com.png,REJECTED,deltatechelectric.com
devonshirecustomhomes_com.png,REJECTED,devonshirecustomhomes.com
dianeherringtoncpa_com.png,REJECTED,dianeherringtoncpa.com
digthatlandscaping_com.png,REJECTED,digthatlandscaping.com
distinctiveroofing_net.png,REJECTED,distinctiveroofing.net
doitremodeling_com.png,REJECTED,doitremodeling.com
dorcoelectric_us.png,REJECTED,dorcoelectric.us
dotsconstruction_com.png,REJECTED,dotsconstruction.com
dovisplumbing_com.png,REJECTED,dovisplumbing.com
downeyroofcoralsprings_com.png,REJECTED,downeyroofcoralsprings.com
dpr_com.png,REJECTED,dpr.com
dreamteammetalroofingandsolar_com_plantation.png,LEAD,dreamteammetalroofingandsolar.com.plantation
drfinac_com_pompano_beach_fl_utm_campaign_gmb_utm_.png,REJECTED,drfinac.com.pompano.beach.fl.utm.campaign.gmb.utm.
dymondac_com.png,REJECTED,dymondac.com
dynamicplumbingtechnology_com.png,REJECTED,dynamicplumbingtechnology.com
eagleroofingandimpr_com.png,REJECTED,eagleroofingandimpr.com
eastcoastmaintenanceandmanagement_com.png,REJECTED,eastcoastmaintenanceandmanagement.com
easternroofing_com__utm_campaign_gmb.png,REJECTED,easternroofing.com..utm.campaign.gmb
easyroofingllc_com.png,REJECTED,easyroofingllc.com
ecoshieldpest_com_locations_miami_fl__utm_source_g.png,REJECTED,ecoshieldpest.com.locations.miami.fl..utm.source.g
ecosmartpestsolutions_com.png,REJECTED,ecosmartpestsolutions.com
ecoterraclean_com.png,REJECTED,ecoterraclean.com
ecpestcontrol_com__utm_source_gbp_utm_medium_organ.png,REJECTED,ecpestcontrol.com..utm.source.gbp.utm.medium.organ
edgepoolsfl_com.png,REJECTED,edgepoolsfl.com
eec_fl_com.png,REJECTED,eec.fl.com
egbertsair_com_largo_hvac_services__utm_source_goo.png,REJECTED,egbertsair.com.largo.hvac.services..utm.source.goo
ehsflorida_com.png,REJECTED,ehsflorida.com
electriceelsinc_com.png,REJECTED,electriceelsinc.com
electriciansbroward_com.png,REJECTED,electriciansbroward.com
electricorlando_com.png,REJECTED,electricorlando.com
elekronelectric_com.png,LEAD,elekronelectric.com
eliteairpros_com.png,LEAD,eliteairpros.com
eliteecsusa_com.png,LEAD,eliteecsusa.com
eliteroofingservices_com.png,REJECTED,eliteroofingservices.com
elleconstructionusa_com.png,REJECTED,elleconstructionusa.com
emergencyplumbingfortlauderdale_com.png,LEAD,emergencyplumbingfortlauderdale.com
emergencyplumbingsfl_com.png,REJECTED,emergencyplumbingsfl.com
enviro_master_com_commercial_cleaning_locations_fo.png,LEAD,enviro.master.com.commercial.cleaning.locations.fo
epairconditioningservices_com.png,REJECTED,epairconditioningservices.com
excelpestservices_com_locations_broward_county_fl_.png,REJECTED,excelpestservices.com.locations.broward.county.fl.
expressroofsupply_com.png,REJECTED,expressroofsupply.com
extrememaids_com_orlando.png,REJECTED,extrememaids.com.orlando
ezfixplumbing_jobbersites_com.png,REJECTED,ezfixplumbing.jobbersites.com
fallenbaumcpa_com.png,REJECTED,fallenbaumcpa.com
fasttaxrefund_com.png,REJECTED,fasttaxrefund.com
fatguru_org_contact_us.png,REJECTED,fatguru.org.contact.us
felixblancocpa_com.png,LEAD,felixblancocpa.com
fhjgroupllc_com.png,LEAD,fhjgroupllc.com
financialgroup_com.png,REJECTED,financialgroup.com
firehousepressurewashing_com.png,REJECTED,firehousepressurewashing.com
firstclassgc_com_florida_utm_source_google_utm_med.png,REJECTED,firstclassgc.com.florida.utm.source.google.utm.med
fiveeighteenconstruction_com.png,REJECTED,fiveeighteenconstruction.com
fivepointsroofingfl_com.png,LEAD,fivepointsroofingfl.com
flapest_com_locations_ft_lauderdale__utm_source_go.png,REJECTED,flapest.com.locations.ft.lauderdale..utm.source.go
flapest_com_locations_gainesville__utm_source_goog.png,REJECTED,flapest.com.locations.gainesville..utm.source.goog
flapest_com_locations_miami__utm_source_google_utm.png,REJECTED,flapest.com.locations.miami..utm.source.google.utm
flapest_com_locations_tampa__utm_source_google_utm.png,REJECTED,flapest.com.locations.tampa..utm.source.google.utm
flgroundskeeper_com.png,REJECTED,flgroundskeeper.com
floridacommercialroofing_net_fort_lauderdale_comme.png,REJECTED,floridacommercialroofing.net.fort.lauderdale.comme
floridagreenbuilderfl_com.png,REJECTED,floridagreenbuilderfl.com
floridakitchenbathremodeling_com.png,REJECTED,floridakitchenbathremodeling.com
floridapestcontrolcenter_com__utm_source_organic_u.png,REJECTED,floridapestcontrolcenter.com..utm.source.organic.u
floridaqualityroofing_com.png,REJECTED,floridaqualityroofing.com
floridasunscape_com.png,REJECTED,floridasunscape.com
flremodelingservice_com.png,REJECTED,flremodelingservice.com
formaroofingfl_com_roofers_fort_lauderdale_fl.png,REJECTED,formaroofingfl.com.roofers.fort.lauderdale.fl
formulaplumbing_com__utm_source_google_utm_medium_.png,REJECTED,formulaplumbing.com..utm.source.google.utm.medium.
fortlauderdalerenovations_com.png,REJECTED,fortlauderdalerenovations.com
fort_lauderdaleacrepair_com.png,REJECTED,fort.lauderdaleacrepair.com
foxtaxusa_com.png,REJECTED,foxtaxusa.com
frazierdeeter_com.png,REJECTED,frazierdeeter.com
freezebreezeacrepairs_com.png,REJECTED,freezebreezeacrepairs.com
frenchrefinery_com.png,REJECTED,frenchrefinery.com
friendlylandscapingllc_us.png,REJECTED,friendlylandscapingllc.us
friendlypoolcleaners_com_contact_friendly_guys_poo.png,REJECTED,friendlypoolcleaners.com.contact.friendly.guys.poo
fsplumbers_com.png,REJECTED,fsplumbers.com
fsrtaxexperts_com.png,REJECTED,fsrtaxexperts.com
futurelandscapingtampa_com.png,REJECTED,futurelandscapingtampa.com
g2homeservices_com.png,LEAD,g2homeservices.com
gccrfg_com.png,REJECTED,gccrfg.com
gelectricsolution_com.png,LEAD,gelectricsolution.com
generaltaxbusiness_com.png,LEAD,generaltaxbusiness.com
genesisairmechanical_com.png,LEAD,genesisairmechanical.com
genxroofing_com.png,LEAD,genxroofing.com
getdrainworks_com.png,REJECTED,getdrainworks.com
getlowertax_com.png,REJECTED,getlowertax.com
gfctampabay_com.png,REJECTED,gfctampabay.com
gilk_com.png,REJECTED,gilk.com
glassactcleaning_net.png,REJECTED,glassactcleaning.net
glasspoolco_com.png,REJECTED,glasspoolco.com
glazeraccounting_com.png,REJECTED,glazeraccounting.com
goodonepestcontrol_com.png,REJECTED,goodonepestcontrol.com
gopaletzroofing_com.png,REJECTED,gopaletzroofing.com
gounitedac_com__utm_campaign_gmb_utm_medium_gbp_li.png,LEAD,gounitedac.com..utm.campaign.gmb.utm.medium.gbp.li
grandaplumbing_com.png,LEAD,grandaplumbing.com
grasspros_com_tampa__utm_source_google_business_pr.png,REJECTED,grasspros.com.tampa..utm.source.google.business.pr
greatamericanplumbing_com__utm_source_gmb_utm_medi.png,REJECTED,greatamericanplumbing.com..utm.source.gmb.utm.medi
greenandmas_com.png,LEAD,greenandmas.com
greenierlawncare_com.png,REJECTED,greenierlawncare.com
greenlineremodeling_com.png,REJECTED,greenlineremodeling.com
greenroofingsolarfl_com.png,REJECTED,greenroofingsolarfl.com
greentekelectrical_com__utm_campaign_gmb.png,LEAD,greentekelectrical.com..utm.campaign.gmb
gregspest_com_schedule_service_utm_campaign_gmb_ut.png,REJECTED,gregspest.com.schedule.service.utm.campaign.gmb.ut
groundedsol_com.png,REJECTED,groundedsol.com
gthumbdesign_com.png,REJECTED,gthumbdesign.com
gulfcoastairsystems_com.png,REJECTED,gulfcoastairsystems.com
halfpriceplumbing_co.png,REJECTED,halfpriceplumbing.co
hartleyacfortlauderdale_com.png,REJECTED,hartleyacfortlauderdale.com
heavensentroofingfl_com__utm_source_google_utm_med.png,REJECTED,heavensentroofingfl.com..utm.source.google.utm.med
herbross_org.png,LEAD,herbross.org
heritageroofsupply_site.png,REJECTED,heritageroofsupply.site
hhroofs_com.png,LEAD,hhroofs.com
hickorycreeknursery_com.png,REJECTED,hickorycreeknursery.com
hispanotaxservice_us.png,REJECTED,hispanotaxservice.us
hitmanpestcontrol_com.png,LEAD,hitmanpestcontrol.com
hivacair_com.png,REJECTED,hivacair.com
hofferpest_com_broward_county_pest_control_coral_s.png,REJECTED,hofferpest.com.broward.county.pest.control.coral.s
hofferpest_com__utm_source_gbpfortlauderdale_utm_m.png,REJECTED,hofferpest.com..utm.source.gbpfortlauderdale.utm.m
homeandofficecare_com.png,REJECTED,homeandofficecare.com
homedesignandrepair_com.png,LEAD,homedesignandrepair.com
homeresolutionconsultants_com.png,REJECTED,homeresolutionconsultants.com
honesthanks_com.png,REJECTED,honesthanks.com
hrcpas_com.png,REJECTED,hrcpas.com
hsc_fl_com.png,REJECTED,hsc.fl.com
htdcleaningservices_com.png,REJECTED,htdcleaningservices.com
hvac_filterbuy_com_service_areas_florida_pompano_b.png,REJECTED,hvac.filterbuy.com.service.areas.florida.pompano.b
hydepark_plumbing_com.png,REJECTED,hydepark.plumbing.com
hytzroofing_com.png,REJECTED,hytzroofing.com
h_18_com.png,REJECTED,h.18.com
icareaircare_com.png,REJECTED,icareaircare.com
icleaningsouthflorida_com__utm_source_gbp_utm_medi.png,LEAD,icleaningsouthflorida.com..utm.source.gbp.utm.medi
iernaair_com__utm_source_google_utm_medium_gbp_utm.png,REJECTED,iernaair.com..utm.source.google.utm.medium.gbp.utm
igconstructionfl_com.png,REJECTED,igconstructionfl.com
ikescarterpools_com.png,REJECTED,ikescarterpools.com
iknowaguyac_com.png,REJECTED,iknowaguyac.com
inca_air_com.png,REJECTED,inca.air.com
insignia_landscape_com.png,REJECTED,insignia.landscape.com
instanthvacinc_com_locations_davie_fl__utm_source_.png,REJECTED,instanthvacinc.com.locations.davie.fl..utm.source.
instant_ac_com__utm_source_gbp_utm_medium_organic.png,REJECTED,instant.ac.com..utm.source.gbp.utm.medium.organic
internationalconstructionsolutions_com.png,REJECTED,internationalconstructionsolutions.com
irsproblemsfl_com.png,REJECTED,irsproblemsfl.com
irwinplumbingstatenisland_com.png,REJECTED,irwinplumbingstatenisland.com
jacksonvilleelectricalrepair_com.png,REJECTED,jacksonvilleelectricalrepair.com
jacobslandscaping_net.png,REJECTED,jacobslandscaping.net
jdgilbert_com.png,LEAD,jdgilbert.com
jdmroofingexperts_com.png,REJECTED,jdmroofingexperts.com
jeafinancialgroup_com__utm_source_google_utm_mediu.png,REJECTED,jeafinancialgroup.com..utm.source.google.utm.mediu
jessremodelingintampa_com.png,REJECTED,jessremodelingintampa.com
jeysangroup_com.png,REJECTED,jeysangroup.com
jhammerhomedesigns_com.png,LEAD,jhammerhomedesigns.com
johnsplumbing_com.png,REJECTED,johnsplumbing.com
johnsroofingservices_com.png,REJECTED,johnsroofingservices.com
johntheplumberfl_com__utm_source_gmb_utm_medium_or.png,REJECTED,johntheplumberfl.com..utm.source.gmb.utm.medium.or
jrctaxexperts_com.png,REJECTED,jrctaxexperts.com
jrosencpa_com.png,REJECTED,jrosencpa.com
jtspool_com.png,REJECTED,jtspool.com
kbgrp_com_locations_tampa.png,REJECTED,kbgrp.com.locations.tampa
kdconstruction_us.png,REJECTED,kdconstruction.us
kfdsvcs_com.png,REJECTED,kfdsvcs.com
kiaslycleaning_com.png,REJECTED,kiaslycleaning.com
kitchenhomeimprovements_com.png,REJECTED,kitchenhomeimprovements.com
kitchensandbathroomsofpompano_com.png,REJECTED,kitchensandbathroomsofpompano.com
